"ТРЦ ""King Cross Leopolis""","49.774236836561265, 24.011694996112773","112,172",,,
"ТРЦ ""King Cross Leopolis"" (парковка)","49.774100664072016, 24.012396162319632","50,120",,,
"ТРЦ ""King Cross Leopolis"" (Стрийська)","49.774776126773006, 24.01442929167856","30,330",,,362
вул. Сокільницька,"49.78420322268945, 24.01443911910798","30,330",,,
Автовокзал,"49.78749425311768, 24.01700940393107","90,180",,,
вул. Михайла Максимовича,"49.79255317970859, 24.016138019587967","30,330",,,
вул. Ярослава Гашека,"49.79468613707576, 24.016654437815415","30,330",,,
вул. Скорини,"49.79804962806848, 24.017355644820633","30,330",,,
вул. Стрийська - вул. Наукова,"49.802644307478985, 24.018376816964086","30,330",,,
Автобусний завод,"49.808559433403154, 24.019384553784406","30,330",,,
Податкова,"49.81528480712255, 24.020091264779886","30,330",,,
Дитяча залізниця,"49.820392549893555, 24.02045905913048","30,330",,,
Академія сухопутних військ,"49.82534925405407, 24.022924189833066","80,140",,,
Стрийський ринок,"49.82954260637525, 24.032278156109385","0,90",,,
пл. Петрушевича,"49.8338988614269, 24.035496881705438","30,330",,,
вул. Володимира Шухевича,"49.837442483389324, 24.035054650810974","30,330",,,
вул. Підвальна,"49.84250084378937, 24.03519874598037","300,40",,,
вул. Театральна,"49.84487461423978, 24.027655693647567","210,300",,,
пл. Різні,"49.845561939948595, 24.02608744908175","270,330",,,
Театр опери та балету (зворотній),"49.844091724204844, 24.02564262788145","130,190",,,
пр. Свободи (зворотній),"49.84018109361715, 24.02812029023851","115,170",,,
вул. Князя Романа (зворотній),"49.83766245782201, 24.032959541568744","120,170",,,
вул. Шота Руставелі (зворотній),"49.83360048698322, 24.035188188009904","150,220",,,
Стрийський ринок (зворотній),"49.82989542840822, 24.03246559848786","180,220",,,
Академія сухопутних військ (зворотній),"49.82423889731485, 24.02061747244792","120,240",,,
Дитяча залізниця (зворотній),"49.82056688946227, 24.02019956725727","165,225",,,
Податкова (зворотній),"49.81500916906329, 24.0196612290905","165,225",,,
Автобусний завод (зворотній),"49.80789529067955, 24.01900748898899","165,225",,,
вул. Стрийська - вул. Наукова (зворотній),"49.80143897183252, 24.017578299050896","150,220",,,
вул. Скорини (зворотній),"49.79785714401484, 24.01680537467302","150,220",,,
вул. Ярослава Гашека (зворотній),"49.79426009521457, 24.016016147536888","150,220",,,
вул. Михайла Максимовича (зворотній),"49.79149892222282, 24.015453402453574","150,220",,,
Автовокзал (зворотній),"49.78764221474219, 24.014611323191993","150,220",,,
вул. Сокільницька (зворотній),"49.783356657688245, 24.013856298027722","130,210",,,
смт Рудне (Духовна cемінарія),"49.842676929327446, 23.860603683482157","70, 270",,,
смт Рудне (вул. Шевченка),"49.84036474518914, 23.865550570322146","120, 240",,,
смт Рудне (вул. Лисенка),"49.83852552260933, 23.86375046998757","60, 240",,,
смт Рудне (Стадіон),"49.83813791548628, 23.86835238156566","60, 120",,,
смт Рудне (Народний дім),"49.83706404896418, 23.87322937473482","90, 150",,,
смт Рудне (вул. Володимира Великого),"49.835834770388175, 23.875919740054137","90, 150",,,
смт Рудне (вул. Центральна),"49.836475447274644, 23.878323824676436","320, 30",,,
смт Рудне (вул. Лугова),"49.83745361055909, 23.88492756065542","0, 360",,,
смт Рудне (вул. Лесі Українки),"49.83990842365828, 23.887362503909603","10, 90",,,
Рудне (вул. Мазепи),"49.83965854750147, 23.890837796027675","70, 150",,,
Рудне (вул. Коновальця),"49.83838168303754, 23.895538655521452","30, 110",,,
Рудне (Кiльцева дорога),"49.83899582333963, 23.899037442139992","110, 205",,,
Три Слони,"49.830317550497234, 23.905796865360625","120, 190",,,
"Гіпермаркет ""Епіцентр""","49.82456827825243, 23.910240742021198","120, 190",,,
Городоцька-Кільцева,"49.821155192605104, 23.917166258115248","40, 110",,,
"ТЦ ""МЕТРО"", Автостанція ""Західна""","49.82181494093209, 23.920055810469872","40, 110",,,
Азов-Галичина,"49.822569161785516, 23.92526114784692","30, 100",,,
вул. Станційна,"49.823572866325804, 23.930101790296987","30, 100",,,
вул. Каховська,"49.82706449148185, 23.949181082859706","30, 110",,,
вул. Вільхова,"49.828780851693736, 23.95837666534794","30, 110",,,
вул. Вівсяна,"49.82986532453992, 23.96461972776491","30, 110",,,
Мотозавод,"49.830799407511044, 23.969059310470396","30, 110",,,
Богданівка,"49.832704745505765, 23.97920845836527","30, 110",,,
вул. Народна,"49.83350510608401, 23.98458950177826","30, 110",,,
вул. Кульпарківська,"49.83452572650409, 23.99005932806997","30, 110",,,
"ТРЦ ""Скриня""","49.835407254088345, 23.99490841223742","30, 110",,,
Привокзальний ринок,"49.83615588226897, 23.999376820959267","30, 110",,,
пл. Кропивницького,"49.837325497312335, 24.00464023508977","15, 100",,,
 Цирк,"49.84075297539464, 24.01251617601472","15, 100",,,
Церква святої Анни,"49.84207218501345, 24.0165703088849","15, 100",,,
вул. Северина Наливайка,"49.843316793495305, 24.022893042212367","15, 110",,,
пр. В'ячеслава Чорновола,"49.84674949001271, 24.025765517792046","320, 30",,,
Палац культури ім. Гната Хоткевича,"49.85127702575775, 24.024413557261155","300, 10",,,
вул. Хімічна,"49.85451890442543, 24.022964914751455","300, 10",,,
вул. Окуневського,"49.8562892837319, 24.01947702006192","210, 270",,,
вул. Бальзака,"49.85515390823486, 24.01445049297906","0, 360",,,
вул. Струмок,"49.85788672174342, 24.011624928297504","0, 360",,,
вул. Петра Панча,"49.86220722225027, 24.007707514762007","0, 360",,,
вул. Варшавська(зворотня),"49.8667207158774, 24.016088319504835","120, 190",,,
Парк 700-річчя Львова(зворотня),"49.86185125091828, 24.01861361508448","120, 190",,,
Шевченківська райадміністрація(зворотня),"49.85817265958928, 24.020686247260237","120, 190",,,
Шевченківська райадміністрація(зворотня) 1,"49.85635355165567, 24.021680241417304","120, 190",,,
вул. Хімічна(зворотня),"49.85436194624659, 24.022701535745405","120, 190",,,
вул. Пантелеймона Куліша(зворотня),"49.84938383151753, 24.025146316754444","120, 190",,,
пр. В'ячеслава Чорновола(зворотня),"49.84547274614262, 24.02509003493491","120, 190",,,
"ТЦ ""Магнус""(зворотня)","49.8441270784144, 24.024274643397824","190, 260",,,
Церква святої Анни(зворотня),"49.84287574799725, 24.018078265308333","230, 330",,,
Захисникiв України(зворотня),"49.8423014779281, 24.015449700684744","150, 210",,,
Цирк(зворотня),"49.840386036552715, 24.012022599617612","200, 270",,,
пл. Кропивницького(зворотня),"49.837782716110375, 24.005593413755008","200, 270",,,
Привокзальний ринок(зворотня),"49.83647606684253, 23.999327714316042","200, 270",,,
"ТРЦ ""Скриня""(зворотня)","49.8357140764092, 23.994717056518567","220, 300",,,
вул. Кульпарківська(зворотня),"49.834609474712934, 23.989892005534564","210, 280",,,
вул. Народна(зворотня),"49.833910543718076, 23.985235690789782","210, 280",,,
Богданівка(зворотня),"49.832616456769756, 23.97855162586178","210, 280",,,
Мотозавод(зворотня),"49.83078945152841, 23.967350721130146","210, 280",,,
вул. Вівсяна(зворотня),"49.82991744743919, 23.96296262716887","210, 280",,,
вул. Вільхова(зворотня),"49.828823959755866, 23.95720124199645","210, 280",,,
вул. Каховська(зворотня),"49.82707294382538, 23.946483134876306","210, 280",,,
вул. Станційна(зворотня),"49.82392372403988, 23.930894136198898","210, 280",,,
Азов-Галичина(зворотня),"49.822747039856324, 23.924242257667125","210, 280",,,
"ТЦ ""МЕТРО"", Автостанція ""Західна""(зворотня)","49.82189728977759, 23.918413108699767","210, 280",,,
"Гіпермаркет ""Епіцентр""(зворотня)","49.82454779142072, 23.910411804809662","300, 10",,,
Рудне (Кiльцева дорога)(зворотня),"49.83927341209852, 23.89846027838816","210, 280",,,
Рудне (вул. Коновальця)(зворотня),"49.83832915139587, 23.8955166672044","230, 300",,,
Рудне (вул. Мазепи)(зворотня),"49.839591635610766, 23.890851862739257","270, 340",,,
смт Рудне (вул. Лесі Українки)(зворотня),"49.83987845612757, 23.887400349839393","210, 285",,,
смт Рудне (вул. Нагірних)(зворотня),"49.83971053773143, 23.87711981519421","0, 360",,,
смт Рудне (вул. Шевченка)(зворотня),"49.84046132757598, 23.86548012650822","260, 330",,,
смт Рудне (Духовна cемінарія)(зворотня),"49.84292450751182, 23.860845269313263","180, 359",,,
Санта-Барбара,"49.785174740737226, 24.059429625662954","330, 30",,,
Коломийська,"49.78756677084788, 24.059399211279892","330, 31",,,
Коломиська Хвильового,"49.78793368225214, 24.066926749751357","15, 75",,,
Кос-Анатольського,"49.79130576934005, 24.06758889983631","296, 353",,,
Антоненка-Давидовича,"49.792736818680844, 24.06556844165451","290, 350",,,
Івана Кавалерідзе,"49.794659643857806, 24.06509129594317","45, 105",,,
Сихівська,"49.796963433055026, 24.0721709719874","336, 6",,,
Зубрівська,"49.80239485038168, 24.06543261815796","297, 357",,,
ДБК,"49.80610457652408, 24.062314045628543","335, 35",,,
Фрезерний завод,"49.81147371259127, 24.061631559523025","323, 23",,,
Бузкова,"49.81371594099663, 24.06042823002716","310, 10",,,
Джорджа Вашингтона,"49.815900724566085, 24.063199541614164","55, 115",,,
Перинатальний центр,"49.815900724566085, 24.063199541614164","80, 140",,,
"ТЦ ""Метро-2""","49.81442065549005, 24.07532860581164","82, 142",,,
Лисинецька,"49.817139010208116, 24.077362545502922","315, 15",,,
Ярошинської,"49.822349215328344, 24.075399143643168","315, 16",,,
Майорівка,"49.82611589899282, 24.073437229867658","274, 334",,,
Ліцей Героїв Крут,"49.82802766973384, 24.07121224950237","300, 360",,,
Таджицька,"49.83075255648833, 24.068666803413155","280, 340",,,
Пасічна,"49.83617735137125, 24.067587088631335","245, 305",,,
Богдана Котика,"49.83724954383642, 24.061145275727107","257, 317",,,
Шевченківський Гай,"49.838527875234355, 24.055510935113322","256, 316",,,
Медичний університет,"49.84012483909698, 24.049029084111737","260, 320",,,
Військовий госпіталь,"49.84032853315244, 24.0432102429215","220, 280",,,
пл. Митна,"49.839833261792506, 24.037923029761895","238, 298",,,
Шевченківська райадміністрація,"49.85778860401806, 24.021329163459942","310, 10",,,
Парк 700-річчя Львова,"49.86259769755698, 24.018781746200972","310, 10",,,
вул. Варшавська,"49.86592447085236, 24.017130416922317","310, 10",,,
На Нивах,"49.86552264143459, 24.010705795783903","223, 283",,,
вул. Тунельна,"49.862709018488395, 24.003875805846192","200, 260",,,
Петрицького,"49.86183015341541, 23.999839778325075","265, 325",,,
вул. Винниця,"49.861949730139656, 23.99237436400126","225, 285",,,
Янівський меморіал,"49.85881985167946, 23.98621307933526","195, 255",,,
вул. Татарбунарська,"49.85420085119391, 23.98629055373082","120, 180",,,
вул. Татарбунарська 1,"49.85404194130483, 23.985079391475047","272, 332",,,
вул. Брюховицька,"49.86025221218542, 23.9701974010957","272, 332",,,
вул. Шевченка,"49.86184441847516, 23.966374617507487","272, 332",,,
вул. Біберовича,"49.8630028816659, 23.963677543508574","272, 332",,,
вул. Порічкова,"49.86447956033603, 23.960016609158174","277, 337",,,
вул. Лупшинського,"49.86644177715676, 23.956919555598983","284, 344",,,
м/н Рясне-1,"49.86819451928324, 23.95264349916726","261, 321",,,
вул. Стельмаха,"49.870502344881366, 23.946342507152835","270, 330",,,
вул. Панаса Сотника,"49.87274758652924, 23.933174022966128","245, 305",,,
вул. Величковського,"49.87518824397906, 23.932441049789333","65, 125",,,
м/н Рясне-2,"49.87550136050788, 23.93790825060614","155, 215",,,
вул. Величковського (зворотній),"49.87534469645228, 23.932431444515004","245, 305",,,
вул. Панаса Сотника (зворотній),"49.87250803363708, 23.933894208312307","65, 125",,,
вул. Стельмаха (зворотній),"49.87055605126465, 23.94555544998071","93, 153",,,
м/н Рясне-1 (зворотній),"49.86849405248251, 23.950831982621747","83, 143",,,
вул. Лупшинського (зворотній),"49.866323610086155, 23.956540072787455","104, 164",,,
вул. Порічкова (зворотній),"49.86432085523683, 23.960298457789875","93, 153",,,
вул. Біберовича (зворотній),"49.86299456257021, 23.963341058000072","92, 152",,,
вул. Шевченка (зворотній),"49.861768335084484, 23.96645644773127","93, 153",,,
вул. Брюховицька (зворотній),"49.85991329403631, 23.9706442691217","92, 152",,,
вул. Татарбунарська (зворотній),"49.85382374941243, 23.985594192876537","90, 150",,,
вул. Татарбунарська 2 (зворотній),"49.85421796215271, 23.986870435070237","300, 360",,,
Янівський меморіал (зворотній),"49.858820154057085, 23.98657094246998","15, 75",,,
вул. Винниця (зворотній),"49.862060198368425, 23.99393722604389","48, 108",,,
Петрицького (зворотній),"49.86148148675525, 24.000376668687128","85, 145",,,
вул. Тунельна (зворотній),"49.86307131837262, 24.004867114113424","20, 80",,,
на вимогу (зворотній),"49.86458216061743, 24.007754430116258","30, 90",,,
На Нивах (зворотній),"49.86547362920283, 24.011199798887073","43, 103",,,
пл. Галицька (зворотній),"49.83930382650039, 24.032714070237716","63, 123",,,
пл. Митна (зворотній),"49.83975064946617, 24.037316923135513","59, 119",,,
Війсковий госпіталь (зворотній),"49.84011190757697, 24.04274895293832","40, 100",,,
Медичний університет (зворотній),"49.84001446323072, 24.049257070009475","78, 138",,,
вул. Мечникова (зворотній),"49.83875717576814, 24.054014702584073","83, 143",,,
вул. Богдана Котика (зворотній),"49.83745294799766, 24.059874574594897","77, 137",,,
вул. Пасічна (зворотній),"49.834350393182106, 24.067779832419653","158, 218",,,
вул. Таджицька (зворотній),"49.83016823651534, 24.069140378282572","122, 182",,,
Майорівка (зворотній),"49.82602467845659, 24.073258279367757","94, 154",,,
вул. Ярошинської (зворотній),"49.821889775012316, 24.0752286247929","136, 196",,,
вул. Лисинецька (зворотній),"49.81807597868655, 24.07673956930476","136, 196",,,
Коледж (зворотній),"49.81517500960966, 24.07772352581313","136, 196",,,
"ТЦ ""Метро-2"" (зворотній)","49.81456863753763, 24.075818261616014","262, 322",,,
Перинатальний центр (зворотній),"49.81619117744725, 24.06949767655253","253, 313",,,
вул. Джорджа Вашингтона (зворотній),"49.816113529000724, 24.06293820016319","236, 296",,,
вул. Бузкова (зворотній),"49.81366614022811, 24.060206497679815","130, 190",,,
Фрезерний завод (зворотній),"49.81218938659933, 24.060995137024047","140, 200",,,
Автостанція №5 (зворотній),"49.807685661300255, 24.061427381188945","145, 205",,,
ДБК (зворотній),"49.80498385669829, 24.062731952800984","120, 180",,,
