name,Coordinates,Degrees
с. Білогорща," 49.84596380568114, 23.929496463898833","80, 150"
вул. Лаврівського,"49.84500105649434, 23.93249372695624","50, 120"
"Народний дім ""Білогорща""","49.844454486249084, 23.93795470450666","60, 130"
вул. Гайовської,"49.84486614413707, 23.94566337315562","60, 130"
вул. Роксоляни,"49.844049670927916, 23.958294504827666","170, 240"
П'ятий парк,"49.84221991774954, 23.959269126213762","60, 130"
вул. Гніздовського,"49.84175720622248, 23.96854826894203","40, 110"
вул. Низинна,"49.84204577223435, 23.973475040408278","30, 100"
вул. Широка,"49.842174423565105, 23.97894858936527","120, 220"
вул. Сяйво,"49.83696403865403, 23.976785275827012","140, 210"
вул. Народна,"49.83357296263776, 23.984560856490024","30, 110"
вул. Кульпарківська,"49.8344799533625, 23.990039348956397","30, 110"
"ТРЦ ""Скриня""","49.835407254088345, 23.99490841223742","30, 110"
Привокзальний ринок,"49.83615588226897, 23.999376820959267","30, 110"
пл. Кропивницького,"49.837325497312335, 24.00464023508977","15, 100"
 Цирк,"49.84075297539464, 24.01251617601472","15, 100"
Церква святої Анни,"49.84207218501345, 24.0165703088849","15, 100"
вул. Северина Наливайка,"49.843316793495305, 24.022893042212367","15, 110"
пр. В'ячеслава Чорновола,"49.84674949001271, 24.025765517792046","320, 30"
Палац культури ім. Гната Хоткевича,"49.85127702575775, 24.024413557261155","300, 10"
вул. Хімічна,"49.85451890442543, 24.022964914751455","300, 10"
Шевченківська райадміністрація 2,"49.85740086033078, 24.023039563628654","20, 90"
вул. Замарстинівська,"49.860702953620546, 24.027686071216955","0, 70"
вул. Бетховена,"49.863524731312005, 24.03343672692287","30, 100"
БТІ,"49.86492855588361, 24.041834676690424","40, 110"
Автостанція №2,"49.864897184671044, 24.051710396137977","30, 180"
Скейт-парк,"49.868465566174216, 24.056377439889342","350, 60"
вул. Чигиринська,"49.87063689413781, 24.05564787897788","260, 330"
вул. Грінченка(зворотня),"49.87211451204838, 24.052325691671196","260, 330"
вул. Плугова(зворотня),"49.87264694028036, 24.04389282678674","225, 295"
Лікарня швидкої допомоги(зворотня),"49.87181717949207, 24.038893188928917","225, 295"
вул. Пилипа Орлика(зворотня),"49.870745384038564, 24.031458105756666","225, 295"
вул. Гетьмана Мазепи(зворотня),"49.86969430991156, 24.025471415246606","225, 295"
Замарстинів(зворотня),"49.87030282926758, 24.020632710014063","270, 340"
Голоско(зворотня),"49.86954217884236, 24.018229450929642","180, 250"
вул. Варшавська(зворотня),"49.8667207158774, 24.016088319504835","120, 190"
Парк 700-річчя Львова(зворотня),"49.86185125091828, 24.01861361508448","120, 190"
Шевченківська райадміністрація(зворотня),"49.85817265958928, 24.020686247260237","120, 190"
Шевченківська райадміністрація(зворотня),"49.85635355165567, 24.021680241417304","120, 190"
вул. Хімічна(зворотня),"49.85436194624659, 24.022701535745405","120, 190"
вул. Пантелеймона Куліша(зворотня),"49.84938383151753, 24.025146316754444","120, 190"
пр. В'ячеслава Чорновола(зворотня),"49.84547274614262, 24.02509003493491","120, 190"
"ТЦ ""Магнус""(зворотня)","49.8441270784144, 24.024274643397824","190, 260"
Церква святої Анни(зворотня),"49.84287574799725, 24.018078265308333","230, 330"
Захисникiв України(зворотня),"49.8423014779281, 24.015449700684744","150, 210"
Цирк(зворотня),"49.840386036552715, 24.012022599617612","200, 270"
пл. Кропивницького(зворотня),"49.837782716110375, 24.005593413755008","200, 270"
Привокзальний ринок(зворотня),"49.83647606684253, 23.999327714316042","200, 270"
"ТРЦ ""Скриня""(зворотня)","49.8357140764092, 23.994717056518567","220, 300"
вул. Кульпарківська(зворотня),"49.834609474712934, 23.989892005534564","210, 280"
вул. Народна(зворотня),"49.833910543718076, 23.985235690789782","210, 280"
вул. Сяйво(зворотня),"49.83772100578925, 23.9773415043606","330, 10"
вул. Широка(зворотня),"49.843095752683055, 23.978809139982083","230, 300"
вул. Низинна(зворотня),"49.842485935716084, 23.971778900110838","230, 300"
вул. Гніздовського(зворотня),"49.842485935716084, 23.971778900110838","240, 310"
П'ятий парк(зворотня),"49.8423613947833, 23.95991280724291","240, 310"
вул. Роксоляни(зворотня),"49.84421563760835, 23.958603889252263","0, 70"
вул. Гайовської(зворотня),"49.844824477954845, 23.94572928617542","200, 270"
"Народний дім ""Білогорща""(зворотня)","49.84460583711367, 23.93810754012018","260, 330"
вул. Лаврівського(зворотня),"49.84508867933953, 23.932748681421256","210, 280"
с. Білогорща(зворотня),"49.845974915514105, 23.9295592030414","260, 330"