name,coord,bearing
Санта Барбара (46),"49.784658567372055, 24.05993822596353","330,30"
вул. Коломийська,"49.78754886159734, 24.059393204461124","330,30"
вул. Коломийська - вул. Трильовського,"49.78797200939323, 24.06687376284434","0,60"
вул. Кос-Анатольського,"49.791413379034275, 24.067449575026256","290,340"
вул. Антоненка-Давидовича,"49.792822396523846, 24.06558351911885","290,340"
вул. Івана Кавалерідзе,"49.794692940968, 24.06509673987316","40,100"
вул. Сихівська,"49.797022297924094, 24.07216647348556","315,20"
вул. Зубрівська,"49.80234992450954, 24.065401114826148","300,0"
ДБК,"49.80613885841624, 24.062341001320135","315,20"
Фрезерний завод,"49.81155099588483, 24.061181993609466","320,10"
вул. Бузкова,"49.81378820883099, 24.060418713652115","290,30"
вул. Дністерська,"49.81771426276931, 24.060018042571517","280,340"
вул. Липова алея,"49.82245801187624, 24.05446014788856","280,0"
вул. Керченська,"49.824005420402955, 24.051668347735497","270,330"
вул. Водогінна,"49.827120207025374, 24.044850912471393","30,100"
Львівводоканал,"49.82994907133743, 24.044459062184753","290,350"
вул. Вагилевича,"49.83251057635107, 24.041220014994344","270,330"
вул. Шота Руставелі,"49.83437445962824, 24.03582998425142","270,330"
вул. Володимира Шухевича,"49.83743872660461, 24.035049856177654","330,40"
вул. Підвальна,"49.842548986159734, 24.035173724331706","315,20"
вул. Театральна,"49.84489337117522, 24.02764407736383","245,330"
пр. В'ячеслава Чорновола,"49.84677864929509, 24.025761166794283","330,30"
Палац культури ім. Гната Хоткевича,"49.85123697129809, 24.024430096120494","315,10"
вул. Хімічна,"49.854556645775965, 24.022943129671216","315,10"
Шевченківська райадміністрація,"49.85780940815205, 24.02130856693909","310,10"
Парк 700-річчя Львова,"49.862658871690634, 24.018703203771242","310,10"
вул. Варшавська,"49.8659624801568, 24.017004413173723","310,20"
Голоско,"49.869328833164204, 24.018349922679704","340,40"
вул. Гетьмана Мазепи,"49.86940721009415, 24.02503834072947","40,100"
вул. Пилипа Орлика,"49.87058368854428, 24.032569848595028","40,100"
Лікарня швидкої допомоги,"49.871770792596294, 24.039489985895266","40,100"
Лікарня швидкої допомоги (1),"49.87509754800894, 24.041423762719717","310,20"
Дитяча лiкарня,"49.87641186907487, 24.038887336087615","230,290"
вул. Щурата,"49.87886849974092, 24.036550242820365","100,160"
Лікарня швидкої допомоги (зворотній),"49.87627741833565, 24.040744063804322","130,190"
Лікарня швидкої допомоги (зворотній) 1,"49.87189554281958, 24.03895046976878","225,280"
вул. Пилипа Орлика (зворотній),"49.87065629503634, 24.03144868533863","225,280"
вул. Гетьмана Мазепи (зворотній),"49.86967343984958, 24.025505045051514","225,280"
Замарстинів (зворотній),"49.870399006023945, 24.020696586483155","280,335"
Голоско (зворотній),"49.86964346868261, 24.01826945641728","170,240"
вул. Варшавська (зворотній),"49.86655059148724, 24.0161042829493","130,190"
Парк 700-річчя Львова (зворотній),"49.86179589582473, 24.018574598694062","130,190"
Шевченківська райадміністрація (зворотній),"49.85793372060138, 24.02072172252078","130,190"
Шевченківська райадміністрація (зворотній) 1,"49.85618942494521, 24.021708631166835","120,190"
вул. Хімічна (зворотній),"49.854378627203864, 24.02269686190381","130,190"
вул. Пантелеймона Куліша (зворотній),"49.849515027742605, 24.025104857848717","70,200"
пр. В'ячеслава Чорновола (зворотній),"49.8454578211559, 24.025073216644316","125,200"
Театр опери та балету (зворотній),"49.84416234202171, 24.025567808042315","140,200"
пр. Свободи (зворотній),"49.84018338486448, 24.028117471027198","120,180"
вул. Князя Романа (зворотній),"49.837703916850764, 24.03295636664199","120,185"
вул. Шота Руставелі (зворотній),"49.83378913348798, 24.037158550235812","80,145"
вул. Вагилевича (зворотній),"49.83284488161088, 24.040074805013337","85,170"
Львівводоканал (зворотній),"49.83082641136242, 24.043194454374806","100,175"
вул. Водогінна (зворотній),"49.82635356968839, 24.043501919608527","60,220"
вул. Керченська (зворотній),"49.823556884851634, 24.052259544652212","80,170"
вул. Липова алея (зворотній),"49.82077264354926, 24.055870084669927","120,185"
вул. Дністерська (зворотній),"49.817836370537265, 24.05937597847972","100,170"
вул. Бузкова (зворотній),"49.81373115752262, 24.060096134005843","120,190"
Фрезерний завод (зворотній),"49.812195182786944, 24.060745764378463","135,205"
Автостанція №5 (зворотній),"49.80770156575635, 24.061348896083146","130,200"
ДБК (зворотній),"49.805019220115206, 24.062694144287953","115,175"
вул. Зубрівська (зворотній),"49.80159219032711, 24.065888647126236","110,170"
вул. Сихівська (зворотній),"49.79713208837499, 24.0718227497124","100,200"
вул. Івана Кавалерідзе (зворотній),"49.79383038697803, 24.064389123899602","100,185"
вул. Кос-Анатольського (зворотній),"49.79108587392422, 24.06759505044558","115,180"
вул. Коломийська - вул. Трильовського (зворотній),"49.7877605409392, 24.065967514292687","200,300"
вул. Коломийська (зворотній),"49.78818614377131, 24.061095711215426","240,300"
вул. Коломийська (зворотній) 1,"49.78888176473826, 24.058644087307798","150,210"
Санта Барбара (зворотній),"49.78557620752302, 24.058817469442143","115,210"